Recommended: S&P Capital IQ - Standard,Period Ended,Financial Filing Date,Spot Exchange Rate,Average Exchange Rate, ,($000),Revenue,        Total Revenue,Cost Of Goods Sold,        Gross Profit, ,Selling General & Admin Exp.,Provision for Bad Debts,R & D Exp.,Depreciation & Amort.,Amort. of Goodwill and Intangibles,Other Operating Expense,"        Other Operating Exp., Total",        Operating Income, ,Interest Expense,Interest and Invest. Income,        Net Interest Exp.,Currency Exchange Gains,Other Non-Operating Inc.,        EBT Excl Unusual Items,Impairment of Goodwill,Gain (Loss) On Sale Of Invest.,Gain (Loss) On Sale Of Assets,Asset Writedown,Other Unusual Items,        EBT Incl. Unusual Items, ,Income Tax Expense,        Earnings from Cont. Ops.,Earnings of Discontinued Ops.,        Net Income to Company,Minority Int. in Earnings,        Net Income,        NI to Common Incl Extra Items,        NI to Common Excl. Extra Items,Per Share Items ($),Basic EPS,Basic EPS Excl. Extra Items,Weighted Avg. Basic Shares Out. (actual),Diluted EPS Incl. Extra Items,Diluted EPS Excl. Extra Items,Weighted Avg. Diluted Shares Out. (actual),Normalized Basic EPS,Normalized Diluted EPS,Dividends per Share,Payout Ratio (%),Shares per Depositary Receipt (actual),Supplemental Items ($000),EBITDA,EBITA,EBIT,Effective Tax Rate (%),Current Domestic Taxes,Total Current Taxes,Deferred Domestic Taxes,Total Deferred Taxes,Normalized Net Income,Supplemental Operating Expense Items ($000),Marketing Expense,Selling and Marketing Expense,General and Administrative Expense,R&D Expense,"Stock-Based Comp., Unallocated","        Stock-Based Comp., Total",CIQ Restatement Type Code,CIQ Calculation Type Code,Stock Based Compensation ($000),"Stock Options Comp. Exp., Before Tax","Stock Based Comp. Exp., Before Tax"
1998 FQ1,3/31/98,7/12/99,NA,NA,,,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,"180,898,705",NA,NA,"180,898,705",NA,NA,NA,NA,1,,NA,NA,NA,33.78,NA,NA,NA,NA,NA,,,,,NA,,,RS,RSQ,,,
1998 FQ2,6/30/98,7/12/99,NA,NA,,,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,"182,178,217",NA,NA,"182,178,217",NA,NA,NA,NA,1,,NA,NA,NA,37.50,NA,NA,NA,NA,NA,,,,,NA,,,O,REP,,,
1998 FQ3,9/30/98,10/30/99,NA,NA,,,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,"181,132,075",NA,NA,"181,132,075",NA,NA,NA,NA,1,,NA,NA,NA,28.93,NA,NA,NA,NA,NA,,,,,NA,,,O,REP,,,
1998 FQ4,12/31/98,2/21/00,NA,NA,,,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,"181,555,104",NA,NA,"181,555,104",NA,NA,NA,NA,1,,NA,NA,NA,2.19,NA,NA,NA,NA,NA,,,,,NA,,,O,Q4,,,
1999 FQ1,3/31/99,4/10/00,1.079500,1.121017,,,"1,558,214","1,558,214","893,451","664,763",,"511,184",,,"14,573","11,210","(8,968)","527,999","136,764",,"(24,662)",NA,"(24,662)",NA,"1,121","113,223",,NA,,,NA,"113,223",,"42,599","70,624",,"70,624","(2,242)","68,382","68,382","68,382",,0.37,0.37,"183,458,646",0.37,0.37,"183,458,646",0.37,0.37,NA,NA,1,,"168,863","136,764","136,764",37.62,NA,NA,NA,NA,"68,522",,,,,NA,,,NC,REP,,,
1999 FQ2,6/30/99,7/30/00,1.031270,1.056422,,,"1,261,368","1,261,368","678,223","583,145",,"483,841",,,"16,903","10,564","(8,451)","502,857","80,288",,"(19,016)",NA,"(19,016)",NA,"2,113","63,385",,NA,,,"3,169","66,555",,"28,523","38,031",,"38,031","(4,226)","33,806","33,806","33,806",,0.19,0.19,"177,777,777",0.19,0.19,"177,777,777",0.20,0.20,NA,NA,1,,"110,239","80,288","80,288",42.86,NA,NA,NA,NA,"35,390",,,,,NA,,,NC,REP,,,
1999 FQ3,9/30/99,10/30/00,1.064980,1.049045,,,"1,652,246","1,652,246","938,895","713,351",,"442,697",,,"15,736","10,490","(7,343)","461,580","251,771",,"(25,177)",NA,"(25,177)",NA,"1,049","227,643",,NA,,,"1,049","228,692",,"82,875","145,817",,"145,817","(6,294)","139,523","139,523","139,523",,0.77,0.77,"180,952,380",0.77,0.77,"180,952,380",0.75,0.75,NA,NA,1,,"281,475","251,771","251,771",36.24,NA,NA,NA,NA,"135,982",,,,,NA,,,NC,REP,,,
1999 FQ4,12/31/99,2/18/01,1.002300,1.036833,,,"1,238,963","1,238,963","693,520","545,443",,"488,613",,,"21,010","10,381","(12,120)","507,885","37,558",,"(22,741)","8,010","(14,731)","(4,735)","1,037","19,129",,NA,,,"(1,285)","17,844",,"9,294","8,550",,"8,550","(6,764)","1,785","1,785","1,785",,0.01,0.01,"182,100,228",0.01,0.01,"182,100,228",0.03,0.03,0.24,NA,1,,"68,457","37,558","37,558",52.09,"164,892","164,892","(6,294)","(6,294)","5,191",,,,,"79,836",,,NC,Q4,,,
2000 FQ1,3/31/00,4/10/01,0.956870,0.986395,,,"1,496,361","1,496,361","868,028","628,334",,"499,116",,,"16,769","9,864","(8,878)","516,871","111,463",,"(12,823)",NA,"(12,823)",NA,986,"99,626",,NA,,,NA,"99,626",,"41,429","58,197",,"58,197","(5,918)","52,279","52,279","52,279",,0.29,0.29,"182,758,620",0.29,0.29,"182,758,620",0.31,0.31,NA,NA,1,,"140,858","111,463","111,463",41.58,NA,NA,NA,NA,"56,348",,,,,NA,,,NC,REP,,,
2000 FQ2,6/30/00,7/10/01,0.958580,0.933363,,,"1,164,837","1,164,837","639,353","525,483",,"456,414",,,"17,734","9,334","(10,267)","473,215","52,268",,"(19,601)",NA,"(19,601)",NA,NA,"32,668",,NA,,,NA,"32,668",,"12,134","20,534",,"20,534","(1,867)","18,667","18,667","18,667",,0.10,0.10,"181,818,181",0.10,0.10,"181,818,181",0.10,0.10,NA,NA,1,,"80,083","52,268","52,268",37.14,NA,NA,NA,NA,"18,551",,,,,NA,,,NC,REP,,,
2000 FQ3,9/30/00,10/10/01,0.882420,0.905455,,,"1,518,449","1,518,449","858,372","660,077",,"448,200",,,"18,109","9,055","(9,960)","465,404","194,673",,"(22,636)",NA,"(22,636)",NA,NA,"172,037",,NA,,,NA,"172,037",,"67,909","104,127",,"104,127","(9,055)","95,073","95,073","95,073",,0.52,0.52,"181,818,181",0.52,0.52,"181,818,181",0.54,0.54,NA,NA,1,,"221,656","194,673","194,673",39.47,NA,NA,NA,NA,"98,468",,,,,NA,,,NC,REP,,,
2000 FQ4,12/31/00,2/18/02,0.938840,0.868631,,,"1,209,834","1,209,834","689,594","520,240",,"453,704",,,"20,684","8,291","(10,487)","472,192","48,047",,"(42,143)","11,367","(30,776)","(1,432)",(869),"14,970",,"2,715",,,226,"17,911",,"8,348","9,564",,"9,564","(5,496)","4,068","4,068","4,068",,0.02,0.02,"182,364,696",0.02,0.02,"182,364,696",0.02,0.02,0.20,NA,1,,"76,865","48,047","48,047",46.61,"97,917","97,917","23,352","23,352","3,860",,,,,"79,045",,,NC,Q4,,,
2001 FQ1,3/31/01,5/2/02,0.884030,0.922507,,,"1,437,266","1,437,266","838,559","598,707",,"466,789",,,"17,528","9,225","(9,225)","484,316","114,391",,"(30,443)",NA,"(30,443)",NA,NA,"83,948",,NA,,,NA,"83,948",,"35,978","47,970",,"47,970","(5,535)","42,435","42,435","42,435",,0.24,0.24,"180,392,156",0.24,0.24,"180,392,156",0.26,0.26,NA,NA,1,,"144,834","123,616","114,391",42.86,NA,NA,NA,NA,"46,933",,,,,NA,,,NC,REP,,,
2001 FQ2,6/30/01,8/2/02,0.846560,0.872928,,,"1,194,165","1,194,165","654,696","539,469",,"457,414",,,"18,331","8,729","(7,856)","476,619","62,851",,"(22,696)",NA,"(22,696)",NA,NA,"40,155",,NA,,,873,"41,028",,"17,459","23,569",,"23,569","(2,619)","20,950","20,950","20,950",,0.12,0.12,"177,777,777",0.12,0.12,"177,777,777",0.13,0.13,NA,175.00,1,,"91,657","71,580","62,851",42.55,NA,NA,NA,NA,"22,478",,,,,NA,,,NC,REP,,,
2001 FQ3,9/30/01,11/6/02,0.910700,0.889638,,,"1,592,452","1,592,452","923,444","669,008",,"453,715",,,"18,682","8,896","(8,007)","473,288","195,720",,"(26,689)",NA,"(26,689)",NA,890,"169,921",,NA,,,NA,"169,921",,"61,385","108,536",,"108,536","(7,117)","101,419","101,419","101,419",,0.56,0.56,"181,673,306",0.56,0.56,"181,673,306",0.55,0.55,NA,0.00,1,,"226,858","204,617","195,720",36.13,NA,NA,NA,NA,"99,083",,,,,NA,,,NC,REP,,,
2001 FQ4,12/31/01,2/14/03,0.890370,0.895478,,,"1,249,503","1,249,503","729,066","520,437",,"445,473",,,"25,935","9,304","(12,613)","468,099","52,337",,"(16,810)","10,800","(6,010)","(7,475)",NA,"38,852",,"1,953",,,695,"41,500",,"16,069","25,431",,"25,431","(3,498)","21,933","21,933","21,933",,0.12,0.12,"183,081,060",0.12,0.12,"183,081,060",0.11,0.11,0.21,NA,1,,"69,590","61,641","52,337",38.72,"138,949","138,949","(7,363)","(7,363)","20,785",,,,,"77,011",,,NC,Q4,,,
2002 FQ1,3/31/02,4/30/03,0.872380,0.876986,,,"1,436,503","1,436,503","836,645","599,858",,"493,743",,,"20,171","9,647","(9,647)","513,914","85,945",,"(16,663)",NA,"(16,663)",NA,NA,"69,282",,NA,,,NA,"69,282",,"28,941","40,341",,"40,341","(2,631)","37,710","37,710","37,710",,0.21,0.21,"181,396,800",0.21,0.21,"181,396,800",0.22,0.22,NA,NA,1,,"119,270","95,591","85,945",41.77,NA,NA,NA,NA,"40,670",,,,,NA,,,NC,REP,,,
2002 FQ2,6/30/02,9/26/03,0.987620,0.918719,,,"1,384,509","1,384,509","764,374","620,135",,"534,694",,,"21,131","10,106","(11,025)","554,906","65,229",,"(24,805)",NA,"(24,805)",NA,"(1,837)","38,586",,NA,,,NA,"38,586",,"13,781","24,805",,"24,805","(1,837)","22,968","22,968","22,968",,0.13,0.13,"181,396,800",0.13,0.13,"181,396,800",0.12,0.12,NA,168.00,1,,"101,059","75,335","65,229",35.71,NA,NA,NA,NA,"22,279",,,,,NA,,,NC,REP,,,
2002 FQ3,9/30/02,11/4/03,0.988240,0.983934,,,"1,837,989","1,837,989","1,033,131","804,858",,"543,132",,,"22,630","11,807","(11,807)","565,762","239,096",,"(22,630)",NA,"(22,630)",NA,NA,"216,466",NA,NA,NA,NA,NA,"216,466",,"80,683","135,783",NA,"135,783","(6,888)","128,895","128,895","128,895",,0.71,0.71,"181,396,800",0.71,0.71,"181,396,800",0.71,0.71,NA,0.00,1,,"277,469","250,903","239,096",37.27,NA,NA,NA,NA,"128,403",,NA,NA,,NA,NA,NA,NC,REP,,NA,NA
2002 FQ4,12/31/02,2/18/04,1.049340,1.000483,,,"1,512,149","1,512,149","869,689","642,460",,"548,648",,,"27,160","11,402","(12,012)","575,198","67,262",,"(12,574)","9,135","(3,439)","(14,686)","1,000","50,138",NA,NA,NA,NA,NA,"50,138",,"17,871","32,268",NA,"32,268","(2,682)","29,585","29,585","29,585",,0.16,0.16,"181,667,200",0.16,0.16,"181,836,544",0.16,0.16,0.25,NA,1,,"110,810","108,810","67,262",35.64,"173,923","173,923","(25,990)","(25,990)","28,654",,NA,NA,,"85,041",NA,NA,NC,Q4,,NA,NA
2003 FQ1,3/31/03,5/4/04,1.091190,1.073450,,,"1,791,589","1,791,589","1,030,512","761,076",,"608,646",,,"26,836","11,808","(11,808)","635,483","125,594",,"(19,322)",NA,"(19,322)",NA,"(2,147)","104,125",NA,NA,NA,NA,NA,"104,125",,"42,938","61,187",NA,"61,187","(6,441)","54,746","54,746","54,746",,0.30,0.30,"181,748,376",0.30,0.30,"181,748,376",0.32,0.32,NA,NA,1,,"168,532","137,402","125,594",41.24,NA,NA,NA,NA,"58,637",,NA,NA,,NA,NA,NA,NC,REP,,NA,NA
2003 FQ2,6/30/03,8/4/04,1.148320,1.136799,,,"1,582,425","1,582,425","874,199","708,226",,"612,735",,,"26,146","12,505","(11,368)","640,018","68,208",,"(11,368)",NA,"(11,368)",NA,NA,"56,840",NA,NA,NA,NA,NA,"56,840",,"21,599","35,241",NA,"35,241","1,137","36,378","36,378","36,378",,0.20,0.20,"181,754,688",0.20,0.20,"181,788,724",0.20,0.20,NA,140.63,1,,"110,270","80,713","68,208",38.00,NA,NA,NA,NA,"36,662",,NA,NA,,NA,NA,NA,NC,REP,,NA,NA
2003 FQ3,9/30/03,11/2/04,1.164540,1.126808,,,"2,087,975","2,087,975","1,147,090","940,884",,"608,476",,,"28,170","12,395","(12,395)","636,646","304,238",,"(19,156)",NA,"(19,156)",NA,NA,"285,082",NA,NA,NA,NA,NA,"285,082",,"108,174","176,909",NA,"176,909","(7,888)","169,021","169,021","169,021",,0.93,0.93,"181,815,000",0.93,0.93,"181,815,000",0.94,0.94,NA,0.00,1,,"348,184","304,238","304,238",37.95,NA,NA,NA,NA,"170,289",,NA,NA,,NA,NA,NA,NC,REP,,NA,NA
2003 FQ4,12/31/03,3/3/05,1.261330,1.191119,,,"1,612,536","1,612,536","841,087","771,449",,"693,392",,,"28,014","12,875","(13,285)","720,996","50,453",,"(28,449)","10,792","(17,657)",NA,"9,905","42,702",NA,403,NA,NA,NA,"43,104",,"13,950","29,154",NA,"29,154","1,917","31,070","31,070","31,070",,0.17,0.17,"181,815,000",0.17,0.17,"181,933,924",0.16,0.16,0.30,1.62,1,,"97,108","50,453","50,453",32.36,"215,558","215,558","(16,984)","(16,984)","28,605",,NA,NA,,"102,436",42,42,NC,Q4,,42,42
2004 FQ1,3/31/04,8/3/05,1.228870,1.250002,,,"1,881,253","1,881,253","997,502","883,751",,"657,501",,,"27,500","11,250","(11,250)","685,001","198,750",,"(13,750)",NA,"(13,750)",NA,"3,750","188,750",NA,NA,NA,NA,NA,"188,750",,"72,500","116,250","(20,000)","96,250","(6,250)","90,000","90,000","110,000",,0.50,0.60,"182,020,997",0.50,0.60,"182,020,997",0.61,0.61,NA,NA,1,,"245,000","212,500","198,750",38.41,NA,NA,NA,NA,"111,719",,NA,NA,,NA,NA,NA,RD,RSQ,,NA,NA
2004 FQ2,6/30/04,8/3/05,1.216660,1.204851,,,"1,687,997","1,687,997","860,264","827,733",,"655,439",,,"26,507","10,844","(13,253)","679,536","148,197",,"(22,892)",NA,"(22,892)",NA,"(1,205)","124,100",NA,NA,NA,NA,NA,"124,100",,"39,760","84,340","(30,121)","54,218","(1,205)","53,013","53,013","83,135",,0.29,0.45,"183,333,333",0.29,0.45,"183,333,333",0.42,0.42,NA,NA,1,,"181,933","148,197","148,197",32.04,NA,NA,NA,NA,"76,357",,NA,NA,,NA,NA,NA,RD,REP,,NA,NA
2004 FQ3,9/30/04,11/3/05,1.242010,1.222550,,,"2,149,244","2,149,244","1,110,076","1,039,168",,"671,180",,,"28,119","11,003","(13,448)","696,854","342,314",,"(18,338)",NA,"(18,338)",NA,"1,223","325,198",NA,NA,NA,NA,NA,"325,198",,"125,923","199,276","26,896","226,172","(7,335)","218,837","218,837","191,940",,1.20,1.05,"182,719,968",1.20,1.05,"182,719,968",1.07,1.07,NA,0.00,1,,"382,658","352,095","342,314",38.72,NA,NA,NA,NA,"195,914",,NA,NA,,NA,NA,NA,RD,REP,,NA,NA
